time,roll_force_duo,roll_force_f1,roll_force_f2,roll_force_f3,roll_force_f4,roll_torque_duo,roll_torque_f1,roll_torque_f2,roll_torque_f3,roll_torque_f4,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8
2022-10-20T13:04:44.848000,0.569885,-6.01477,-6.35631,-4.26344,-2.21945,0.598957,0.00964403,0.014466,-0.015343,0.0130208,670.0,670.182,670.091,600.0,669.909,600.0,670.091,600.0
2022-10-20T13:04:44.850000,0.323242,-6.05142,-6.32755,-4.23628,-2.19632,0.644531,0.00876737,0.0140278,-0.0157812,0.0126953,670.091,670.091,670.0,599.913,669.909,600.087,670.091,600.0
2022-10-20T13:04:44.852000,0.17315590000000003,-6.01477,-6.35631,-4.26344,-2.1732,0.598957,0.0100825,0.015343,-0.0179732,0.0133464,670.0,670.0,669.818,599.913,670.0,600.174,670.091,600.0
2022-10-20T13:04:44.854000,0.24456700000000003,-6.01477,-6.38507,-4.23628,-2.1732,0.605469,0.0105209,0.0140278,-0.015343,0.0123699,670.0,670.182,669.909,600.0,670.091,600.0,670.0,600.0
2022-10-20T13:04:44.856000,0.42492710000000006,-6.01477,-6.38507,-4.20912,-2.1732,0.585938,0.0109591,0.0113976,-0.0166581,0.0126953,670.091,670.091,670.091,600.174,670.0,600.0,670.091,600.0
2022-10-20T13:04:44.858000,0.01519799999999999,-6.01477,-6.41383,-4.2906,-2.21945,0.631512,0.00964403,0.0162196,-0.0179732,0.0130208,670.091,670.0,670.0,600.087,669.909,599.913,670.0,600.087
2022-10-20T13:04:44.860000,0.576355,-6.01477,-6.32755,-4.20912,-2.1732,0.631512,0.00964403,0.0166581,-0.0170963,0.0130208,670.0,670.0,670.0,600.0,669.909,600.0,670.091,600.087
2022-10-20T13:04:44.862000,0.5644525999999999,-6.01477,-6.35631,-4.20912,-2.15009,0.63802,0.0109591,0.0131509,-0.0149045,0.0130208,670.0,670.0,670.0,599.913,669.909,600.0,670.091,600.0
2022-10-20T13:04:44.864000,0.395386,-6.01477,-6.29878,-4.23628,-2.1732,0.618488,0.00920582,0.0135894,-0.0162196,0.0130208,670.0,670.091,670.0,599.826,670.0,600.0,670.0,600.0
2022-10-20T13:04:44.866000,0.5626831,-6.01477,-6.29878,-4.23628,-2.1732,0.625,0.00964403,0.0149045,-0.0149045,0.0136719,670.0,670.0,670.0,600.0,670.091,600.087,670.0,600.0
2022-10-20T13:04:44.868000,0.419129,-6.05142,-6.32755,-4.20912,-2.19632,0.579426,0.00920582,0.0131509,-0.0170963,0.0126953,670.0,670.0,670.0,600.087,670.091,599.913,670.0,600.0
2022-10-20T13:04:44.870000,0.4858396,-6.01477,-6.35631,-4.26344,-2.15009,0.61198,0.0105209,0.0140278,-0.0170963,0.0126953,670.0,670.0,670.0,600.0,670.091,600.0,669.909,600.0
